original_rank,address,trust_score,net_worth,wallet_volume_6m,tx_count,last_active,first_active,ens,farcaster,world_id
62,0xd508c555c8349ae273c1da1fad738e9b66950d4b,0.781610,$161.9,$2.1m,4372,2h ago,2y ago,gambitcrypto.eth,gambitcrypto,false
79,0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,0.768113,$4.8,$349.4k,1387,1 day ago,2y ago,ehsanasadi.eth,ehsana,false
108,0x3bb1abd5417672644ba27a78129a8283134106e5,0.750253,$332.0,$16.8m,856,16h ago,1y ago,bitmergence.eth,bitmergence,false
136,0xd5231d23ed357409a538541358a4a6a0496b22cd,0.732967,$20.1,$323.8k,965,1 day ago,2y ago,rus1rom.eth,rusr10,false
141,0xe6db30da89e8c6492da3677fa9b5a7d59124995e,0.732338,$62.1,$970.1k,2536,4 days ago,2y ago,trtthesalad.eth,lasalade,false
142,0x2f75ffe98046e4a55fa79daf97b2730d7e707186,0.732289,$65.6,$284.0k,895,2 days ago,2y ago,maki4.eth,maki4,false
147,0xb2acd3caab07d899ddab548794b16747d4922ca4,0.730942,$0.06,$2.5m,88,10 days ago,1y ago,0xygen.eth,,false
152,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0.729053,$103.8k,$2.6m,5753,8h ago,2y ago,,uga2vegas,false
161,0xf438cb3952d32dcd5519b17c9d24408681e47940,0.726756,$129.9,$37.9k,209,14 days ago,2y ago,tenettenet.eth,,false
164,0xf69f29a2af99eb5bd178b77283b6e5df974fa557,0.725776,$4.1k,$282.0k,1261,4 days ago,2y ago,bnz777.eth,bnz777,false
167,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,0.725398,$191.5,$298.0k,2016,1 day ago,2y ago,ceazor.eth,,false
172,0xb4f17c28b4fee29231c37aa4b4fc4b42a02d6673,0.724071,$17.8,$197.1k,1864,14h ago,2y ago,dragg.eth,dragg,false
176,0x6b452ea7ec92dad4179773d1cd5a95cc6adfc28d,0.722645,$53.1,$14.0k,50,13 days ago,2y ago,konstantinfilippov.eth,,false
183,0xb32b84494df2b99cae50683a4273cce4a21429bf,0.721139,$79.5,$876.6k,859,15 days ago,2y ago,petryan.eth,,false
187,0xede67cb668d244b8d661f568ae233924f3dc4590,0.720124,$249.7,$453.9,15,20 days ago,1y ago,revoltz.eth,revoltz,false
200,0xdf3e15d2335be8190ba84e25568d6341af2bc0be,0.716688,$3.5k,$1.4m,205,16 days ago,1y ago,adik25.eth,,false
203,0x67c26e83a302abd73d94a56cc88df0d7fd69f197,0.716128,$5.1,$247.3k,866,1 day ago,1y ago,rukubilani.eth,rukubilani,false
212,0xc7695658167e9afe23363184be8d599faa996dac,0.714051,$3.0k,$1.2m,382,13 days ago,2y ago,tysonuw.eth,,false
214,0x1b252f5aa0b44582fba1d4756cbcd7b39ca661ef,0.713002,$13.5,$474.3k,84,3 days ago,5mo ago,mehd1.eth,,false
218,0x5314ec567d899b1ad5f036517fff2004e7fe5100,0.712139,$9.2,$938.5k,127,6 days ago,2y ago,djisan.eth,,false
219,0xfd6c61c946fa096e44f2464fb473f317c01e9a82,0.712069,$58.7,$145.2k,2264,2 days ago,2y ago,timax.eth,timax.eth,false
220,0x79b6327487e1105e747656715b4cbbd38667eaee,0.711939,$640.1,$37.9k,850,10 days ago,2y ago,fairish.eth,rezajd,false
225,0x02469e7afb9e193f40790c25811c5970050ebffe,0.709295,$70.7,$37.6k,203,10 days ago,1y ago,main.schizo1909.eth,,false
236,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,0.707002,$121.2,$163.6k,697,1 day ago,2y ago,alexandob.eth,,false
238,0x6581e989c48b9fb70cbaa5f887cee4285db054ad,0.706466,$191.3,$35.6k,40,18 days ago,1y ago,andrewwiles.eth,,false
