i,v
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0555555556
0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,0.0555555556
0x0555e30da8f98308edb960aa94c0db47230d2b9c,0.0555555556
0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0.0555555556
0x4200000000000000000000000000000000000006,0.0555555556
0xa238dd80c259a72e81d7e4664a9801593f98d1c5,0.0555555556
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0.0555555556
0x52aa899454998be5b000ad077a46bbe360f4e497,0.0555555556
0x1111111254eeb25477b68fb85ed929f73a960582,0.0555555556
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.0555555556
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0.0555555556
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0.0555555556
0xd0b53d9277642d899df5c87a3966a349a798f224,0.0555555556
0x9df3c2c75a92069b99c73bd386961631f143727c,0.0555555556
0x6e47be0c14e1cf94c9edad7857f93bb988df7927,0.0555555556
0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0.0555555556
0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,0.0555555556
0x2416092f143378750bb29b79ed961ab195cceea5,0.0555555556
